"","x"
"1",0
"2",0.0305753646515122
"3",1.0176431069676
"4",0.555716508654534
"5",0.276002106963078
"6",0.0643369104804805
"7",0.224120120827493
"8",0.302643472087754
"9",0.215039640151273
"10",0.23416235400891
"11",0.24427056805273
"12",0.0620164005976999
"13",0
"14",0.00561607264950662
"15",0.435483650325881
"16",0.239417445078654
"17",0.17757048075964
"18",0.0300852220348381
"19",0.095044531158256
"20",0.235553311427005
"21",0.36667910345896
"22",0.124864505965444
"23",0.133182811626399
"24",0.0380716715367567
"25",0
"26",0.00310202112810149
"27",0.482773414929143
"28",0.265748332574599
"29",0.209872723435491
"30",0.0338762024393628
"31",0.105209524703813
"32",0.285466888811244
"33",0.486297376766351
"34",0.143468256581849
"35",0.15357592232288
"36",0.0448915519034215
"37",0
"38",0.002011095061937
"39",0.303074899331714
"40",0.166825114193965
"41",0.131516078251849
"42",0.0212572377221825
"43",0.0660510899457021
"44",0.178765142666761
"45",0.303814552842069
"46",0.0899749045410675
"47",0.0963041003025097
"48",0.0281323823007337
"49",0
"50",0.00560923355469064
"51",0.502492430179985
"52",0.276359574266335
"53",0.208885894656472
"54",0.0348761285786533
"55",0.10962042670954
"56",0.279236342575037
"57",0.447154499839971
"58",0.145634951950566
"59",0.155504771338159
"60",0.0447465265926318
"61",0
"62",0.00186915187935693
"63",0.388264145623438
"64",0.213781854560109
"65",0.171041968330588
"66",0.0273346859406273
"67",0.0845871292365355
"68",0.233809292982991
"69",0.405133339996971
"70",0.116248113373536
"71",0.124530659147207
"72",0.0365753986888544
"73",0
"74",0.000880910856508737
"75",0.3502821216023
"76",0.192937385559577
"77",0.157025213276444
"78",0.0247689842340081
"79",0.0762811662976026
"80",0.216032912820272
"81",0.38248692281613
"82",0.105914597300185
"83",0.113571920003541
"84",0.0335694168430465
"85",0
"86",0.00515361346904405
"87",0.473811730662281
"88",0.260602804671652
"89",0.197609496150154
"90",0.0329120985063985
"91",0.103355613320965
"92",0.264492578034986
"93",0.425393015260312
"94",0.137576617216015
"95",0.146927132486101
"96",0.0423253052728113
"97",0
"98",0.00549238089728566
"99",0.502248893008956
"100",0.276238825933431
"101",0.209296657787054
"102",0.0348799959127749
"103",0.109561058456222
"104",0.28005419446788
"105",0.450018726801138
"106",0.145764008522988
"107",0.155663894555038
"108",0.0448299873262128
"109",0
"110",0.00245403439657552
"111",0.337759272481143
"112",0.185896479476826
"113",0.145765888936433
"114",0.0236578573414443
"115",0.0736194820250257
"116",0.197722456681709
"117",0.333609962201181
"118",0.0999634379915256
"119",0.1069623978219
"120",0.0311849489491087
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
