"","C"
"MicrobesSeries",0.0109
"",0.0104883526474671
"",0.0101362863413461
"",0.00983566097275709
"",0.00949203197643404
"",0.0092778453414009
"",0.00909857555134654
"",0.00895070769293103
"",0.0088313619366397
"",0.00873818042639858
"",0.00866923953221184
"",0.00862298139015187
"",0.00859816029997425
"",0.00859380071815658
"",0.00852944993880811
"",0.0085636905598633
"",0.00861662610488423
"",0.00868809951262825
"",0.0087781200338433
"",0.0088868566861157
"",0.00901463497791756
"",0.00916193664137864
"",0.00932940222396885
"",0.0094288847437787
"",0.00963729873308646
"",0.00986861468239255
"",0.0101241765801656
"",0.010405542391683
"",0.010714505575608
"",0.0110531209754767
"",0.0114237357382172
"",0.0118290260712667
"",0.0122720408417286
"",0.0127562532545677
"",0.0132856221337546
"",0.0138646646854287
"",0.0143617643565508
"",0.0150498358525506
"",0.0158048316536449
"",0.016634479519566
"",0.0175476947800615
"",0.0185547942374649
"",0.0196677559134786
"",0.0209005358606065
"",0.0222694563780681
"",0.0228580708171656
"",0.0235131325725972
"",0.0241458881538109
"",0.0249189580474445
"",0.0259185145127021
"",0.0269495355469758
"",0.0280486221991893
"",0.0294643541821273
"",0.0306524636336067
"",0.0320514474329606
"",0.0331615320193727
"",0.0342045405351216
"",0.0355161476892345
"",0.0370114485383679
"",0.0387032788099234
"",0.0406079191612489
"",0.0427454321596872
"",0.045029632257193
"",0.0475164149429992
"",0.0496753257222695
"",0.0518890985820354
"",0.0539502273643817
"",0.0566567435226224
"",0.0596577657374087
"",0.0629780176502385
"",0.0662827434346824
"",0.0697162094159511
"",0.073630451623648
"",0.0776987584145095
"",0.0821006897141715
"",0.0869426282501411
"",0.092022358293425
"",0.0977208742640163
"",0.103657362653361
"",0.109989403179941
"",0.117031133511095
"",0.12481974271835
"",0.13332225335856
"",0.142436277336618
"",0.152263946024109
"",0.163330477568549
"",0.174703875866905
"",0.187020410502324
"",0.201075804818152
"",0.216472720658346
"",0.233132908670471
"",0.250622001647692
"",0.27104612434201
"",0.293023377128769
"",0.317677407827454
"",0.344547433527053
"",0.37450721154952
"",0.407937486088259
"",0.445236673177274
"",0.486610220967648
"",0.53208282812411
"",0.583591526930367
"",0.640748348538064
"",0.704438240934034
"",0.773742166426718
"",0.8529436315493
"",0.940487763958815
"",1.03690676087796
"",1.14321715939573
"",1.26320365722066
"",1.3971440129584
"",1.54338464700253
"",1.70635922727866
"",1.88500395715439
"",2.0838190095583
"",2.30151424921725
"",2.54325061876462
"",2.81011007414771
"",3.10014255824532
"",3.41642073999445
"",3.76592290535312
"",4.14642133754427
"",4.55880234062433
"",5.00931980986443
"",5.49662484966801
"",6.02624793781984
"",6.59261694656111
"",7.19601230474333
"",7.83815798279253
"",8.5343979786462
"",9.26479468754927
"",10.0500078711882
"",10.8787021606105
"",11.7455793412262
"",12.644518515972
"",13.5804626592768
"",14.548175119999
"",15.5342262622776
"",16.5466962963169
"",17.5708590755835
"",18.6275474912219
"",19.6869795406956
"",20.7431084392519
"",21.7999180642249
"",22.8673531864479
"",23.9522705096581
"",25.0132610873141
"",26.0519488457387
"",27.0755424611733
"",28.0911808492404
"",29.0853471232086
"",30.0708688168374
"",31.0262938126141
"",31.905247953454
"",32.7958015655356
"",33.6796592575671
"",34.5113340591229
"",35.3306150691758
"",36.0852875322973
"",36.816747088534
"",37.4901258833545
"",38.1621526587506
"",38.7725490710311
"",39.3531949906303
"",39.9113699785075
"",40.3770333834746
"",40.8509627398439
"",41.2803639992998
"",41.7033517081033
"",42.0791638757419
"",42.4226721747257
"",42.7031071749872
"",42.9413147452715
"",43.1592215044321
"",43.3252464879134
"",43.4875496036644
"",43.5917915321407
"",43.6526317876971
"",43.6714948547075
"",43.6648794942754
"",43.6042886082256
"",43.4650478274697
"",43.3136946661833
"",43.1443209397417
"",42.9336583659934
"",42.6426670571087
"",42.3539105804439
"",42.0434276561073
"",41.672787395072
"",41.2478239560558
"",40.7973679026742
"",40.3323732538155
"",39.7973939835083
"",39.2553886858388
"",38.6883507886699
"",38.0812700707829
"",37.4788817747114
