,Substrate_series,Enzyme_series,Decayrates_series,Enz_rate
0.0,12.5142,0.0,0.0,0.0003
1.0,12.514143807382,7.92727272727273e-06,5.834697901309089e-05,0.0003
2.0,12.5140364350131,1.5151331685307198e-05,0.00011148890337401597,0.0003
3.0,12.5138822661349,2.1765692457405302e-05,0.000160079537527481,0.0003
4.0,12.5136851539055,2.7848515969218897e-05,0.000204669287997004,0.0003
5.0,12.5134489364672,3.3404191258243e-05,0.00024527374620563597,0.0003
6.0,12.5131765953886,3.85552460482746e-05,0.000282782325671351,0.0003
7.0,12.5128707770453,4.33501584405864e-05,0.000317543070566456,0.0003
8.0,12.5125338337196,4.7831240482332605e-05,0.000349861349472094,0.0003
9.0,12.5121678575714,5.20357519728062e-05,0.00038000725724492097,0.0003
10.0,12.511774708955,5.59967816863344e-05,0.000408221486997909,0.0003
11.0,12.511356040187598,5.9743954028316295e-05,0.00043472005160376205,0.0003
12.0,12.5109133156148,6.3304003116082e-05,0.00045969812919696506,0.0003
13.0,12.5104478286222,6.67012451511136e-05,0.0004833332342960941,0.0003
14.0,12.509960716097302,6.995797210987371e-05,0.000505787864817038,0.0003
15.0,12.509453509064,7.301728522103029e-05,0.000526652773806091,0.0003
16.0,12.5089272491509,7.59489484698573e-05,0.000546436119453765,0.0003
17.0,12.508382824988699,7.877476552421508e-05,0.0005652967650918031,0.0003
18.0,12.5078209836484,8.15150455365683e-05,0.000583381698059426,0.0003
19.0,12.507242340104199,8.418890178796491e-05,0.000600828079279265,0.0003
20.0,12.5066473849667,8.681451561726759e-05,0.0006177650405216041,0.0003
21.0,12.5060364906704,8.94093746041726e-05,0.000634315288513508,0.0003
22.0,12.505409916256301,9.19904924282479e-05,0.000650596564174504,0.0003
23.0,12.5047678108496,9.457461674697809e-05,0.0006667229974475679,0.0003
24.0,12.504110619781699,9.71187410125428e-05,0.000682387025633449,0.0003
25.0,12.5034382665491,9.97004567310524e-05,0.0006981304905123,0.0003
26.0,12.5027505694156,0.00010233671063355798,0.0007140626591629161,0.0003
27.0,12.5020472560016,0.000105042613801326,0.0007302776500411309,0.0003
28.0,12.501327966081,0.00010783319425098102,0.000746866677692061,0.0003
29.0,12.500592248812001,0.00011072425753336202,0.00076392383196955,0.0003
30.0,12.499839559063199,0.000113732568500082,0.00078154701734253,0.0003
31.0,12.499069252759,0.00011687605356467801,0.000799838971489405,0.0003
32.0,12.498280581147801,0.00012017402823218898,0.0008189083833572349,0.0003
33.0,12.4974726838762,0.000123647455530717,0.0008388711337841769,0.0003
34.0,12.4966445807234,0.000127319242065041,0.000859851685464033,0.0003
35.0,12.495795161823901,0.000131214579781149,0.000881984653617241,0.0003
36.0,12.4949231761674,0.000135361343254226,0.000905416594409744,0.0003
37.0,12.494027813201699,0.00013969768972191,0.0009296901630646749,0.0003
38.0,12.4931074937341,0.00014435027815695001,0.0009556034687741119,0.0003
39.0,12.4921604524695,0.000149357729958099,0.000983349749115107,0.0003
40.0,12.4911847166987,0.00015476373217068203,0.00101314437006203,0.0003
41.0,12.490178081419499,0.00016061795077890398,0.00104522853045461,0.0003
42.0,12.489138080261801,0.000166977129229099,0.00107987361875655,0.0003
43.0,12.488061951458599,0.00017390641676194997,0.00111738635705069,0.0003
44.0,12.4869465979466,0.00018148098321927602,0.00115811489654231,0.0003
45.0,12.4857885404873,0.000189787992765797,0.00120245606462412,0.0003
46.0,12.484583862465,0.000198929029669349,0.0012508640069598402,0.0003
47.0,12.483328144733802,0.00020902309661220402,0.0013038605202156598,0.0003
48.0,12.482016015193,0.000218878490771281,0.0013624350945084902,0.0003
49.0,12.4806460309879,0.000228943814701881,0.0014225078407475,0.0003
50.0,12.479217911433699,0.000239207608512419,0.0014828720328958398,0.0003
51.0,12.477729624744901,0.00024998784388731204,0.0015453459070653,0.0003
52.0,12.476179116047401,0.000261330939556979,0.0016099534367631598,0.0003
53.0,12.4745636362806,0.00027338351506897205,0.00167741542294522,0.0003
54.0,12.472879219363199,0.00028637387861259596,0.00174899554545207,0.0003
55.0,12.471121257304,0.000300457519975043,0.0018253603242356998,0.0003
56.0,12.469283267203,0.00031396389395082596,0.00190845655026477,0.0003
57.0,12.4673624076967,0.000327969638532335,0.00199450307415412,0.0003
58.0,12.465356494956,0.00034256052668929905,0.0020828171528005602,0.0003
59.0,12.4632618366039,0.000358010166884742,0.0021749651699510004,0.0003
60.0,12.4610738616061,0.000374506275904457,0.0022718594697027803,0.0003
61.0,12.458787071273001,0.00039225229842692,0.00237446327252703,0.0003
62.0,12.456394968604199,0.000411473101360884,0.0024838131632915397,0.0003
63.0,12.453889176352801,0.000432299755672873,0.00260186147518447,0.0003
64.0,12.4512532527911,0.00045414152837271003,0.0027369818719159495,0.0003
65.0,12.448480234306501,0.000477104036256746,0.00287933285806496,0.0003
66.0,12.445562812053,0.000501446967657377,0.0030292729032030804,0.0003
67.0,12.4424919324942,0.000527479537595859,0.00318861358699701,0.0003
68.0,12.4392596075533,0.000555152609828208,0.0033562486013265,0.0003
69.0,12.4358549514401,0.000585051704769971,0.00353518675469842,0.0003
70.0,12.4322640454238,0.00061758236373303,0.0037285772671048706,0.0003
71.0,12.4284759738156,0.000652450998449842,0.00393330196349336,0.0003
72.0,12.4244717485622,0.0006899719404752491,0.0041577426936065,0.0003
73.0,12.4202247116625,0.000729933211893258,0.004409863462014979,0.0003
74.0,12.415714644444499,0.000773117006428381,0.00468297806351087,0.0003
75.0,12.4109197459612,0.0008200612359681451,0.00497872943535668,0.0003
76.0,12.4058200518249,0.0008710704517128269,0.005295210606948629,0.0003
77.0,12.4003899262687,0.0009261819714916882,0.005638310391609359,0.0003
78.0,12.394601083381,0.00098603887302114,0.00601078053729761,0.0003
79.0,12.388422488984501,0.001051567344811,0.006415474675527021,0.0003
80.0,12.381819131658801,0.00112310451056987,0.00685652253214502,0.0003
81.0,12.3747377660543,0.0012016353522872,0.0073528571044306585,0.0003
82.0,12.367128053589301,0.00128798470184193,0.00790146018247099,0.0003
83.0,12.3589356570655,0.00138284114928296,0.00850648368505467,0.0003
84.0,12.3501035449996,0.0014872294658608,0.00917072519308893,0.0003
85.0,12.3405640457685,0.0016027000497874301,0.009905232777428191,0.0003
86.0,12.3302414877005,0.00173028649187018,0.010718313199132799,0.0003
87.0,12.319053568362401,0.0018718352297004402,0.0116168514356497,0.0003
88.0,12.3069042764829,0.0020295472784009104,0.0126150819064373,0.0003
89.0,12.2936761226601,0.0022051963807372802,0.013735306189142201,0.0003
90.0,12.2792429205985,0.0024015007269036696,0.014986554606165398,0.0003
91.0,12.263463136783301,0.0026217098232985004,0.016384762772163698,0.0003
92.0,12.2461712122764,0.00286942854219917,0.017954877217332,0.0003
93.0,12.2271836327717,0.0031485184388828,0.0197155416985308,0.0003
94.0,12.2062820701486,0.00346392994217203,0.0217029047517897,0.0003
95.0,12.183220158092801,0.0038213156140306,0.023946079523689098,0.0003
96.0,12.1577119371948,0.004227246954969639,0.026486177063453,0.0003
97.0,12.1294382909619,0.00468742205692366,0.0293576256592128,0.0003
98.0,12.0980353128224,0.00521202141111196,0.0326069325903183,0.0003
99.0,12.063088738856699,0.00581055725501503,0.0362863858486616,0.0003
100.0,12.0241233726886,0.006493785028632,0.0404592539714342,0.0003
101.0,11.9806101858716,0.00727599489198127,0.0451814328893068,0.0003
102.0,11.931928717932001,0.00816994813401453,0.0505478600296917,0.0003
103.0,11.8774567291265,0.009189130224118559,0.0565603828769432,0.0003
104.0,11.8164830760345,0.0103548121797622,0.063311313574477,0.0003
105.0,11.748219613610301,0.011684324310781601,0.0708806059019156,0.0003
106.0,11.6718153299804,0.0131989621099587,0.0793335369298995,0.0003
107.0,11.586389724129,0.014925688966197101,0.08870072638072729,0.0003
108.0,11.4910196233504,0.016887707547867798,0.09902648192845621,0.0003
109.0,11.384695006747501,0.0191169197407608,0.11040098142509598,0.0003
110.0,11.266493529077099,0.0216417303537672,0.122733187832265,0.0003
111.0,11.135423453188698,0.024501074575775602,0.13609515346366,0.0003
112.0,10.990594120641001,0.0277215871342554,0.15038192436781,0.0003
113.0,10.8310174439763,0.031350291016790696,0.165694664878448,0.0003
114.0,10.655866406002401,0.0354210754586868,0.181866129479352,0.0003
115.0,10.4646331640297,0.0399706229633625,0.198564906880817,0.0003
116.0,10.2570287273936,0.045040849131242996,0.21556375452020196,0.0003
117.0,10.0329143994499,0.050676058307119104,0.23270661627519298,0.0003
