,Substrate_series,Enzyme_series,Decayrates_series,Enz_rate,Subinput_rate
0.0,147.2924,0.0,0.0,0.0003,147.2924
1.0,147.292221987346,1.18909090909091e-05,0.000178012653577156,0.0003,73.6462
2.0,147.291881761891,2.2726997527960897e-05,0.000340225455793719,0.0003,49.09746666666666
3.0,147.29139303378702,3.2648538686108005e-05,0.00048872810374955,0.0003,36.8231
4.0,147.29076776542902,4.17727739538283e-05,0.0006252683581050181,0.0003,29.458479999999998
5.0,147.29001782563202,5.010628688736459e-05,0.0007499397965401761,0.0003,24.54873333333333
6.0,147.289152335481,5.7832869072411907e-05,0.0008654901512424561,0.0003,21.041771428571426
7.0,147.28817933008702,6.50252376608796e-05,0.000973005393662543,0.0003,18.41155
8.0,147.28710589626002,7.174686072349889e-05,0.00107343382770662,0.0003,16.36582222222222
9.0,147.285938285395,7.80536279592092e-05,0.00116761086507095,0.0003,14.729239999999999
10.0,147.28468200676298,8.399517252950171e-05,0.00125627863181155,0.0003,13.390218181818181
11.0,147.283341905068,8.96159310424744e-05,0.0013401016947083499,0.0003,12.274366666666666
12.0,147.281922225228,9.49560046741229e-05,0.00141967984004212,0.0003,11.330184615384614
13.0,147.280426666638,0.00010005186772667001,0.00149555859028604,0.0003,10.520885714285713
14.0,147.278858428668,0.00010493695816481099,0.00156823797007531,0.0003,9.819493333333332
15.0,147.27722198563998,0.000109525927831545,0.0016364430272568999,0.0003,9.205775
16.0,147.275520246962,0.00011392342270478601,0.00170173867812033,0.0003,8.66425882352941
17.0,147.27375563301,0.00011816214828632298,0.00176461395181695,0.0003,8.18291111111111
18.0,147.271930108963,0.000122272568304852,0.00182552404791743,0.0003,7.7522315789473675
19.0,147.270045211965,0.000126283352681947,0.00188489699717519,0.0003,7.3646199999999995
20.0,147.268102072422,0.000130221773425901,0.00194313954334848,0.0003,7.013923809523809
21.0,147.266101429977,0.00013411406190625902,0.00200064244539879,0.0003,6.6951090909090905
22.0,147.264043644612,0.00013798573864237199,0.00205778536479603,0.0003,6.404017391304348
23.0,147.26192870313298,0.00014186192512046698,0.00211494147844703,0.0003,6.137183333333333
24.0,147.259757555581,0.000145678111518814,0.0021711475520437198,0.0003,5.891696
25.0,147.257529418584,0.000149550685096579,0.00222813699689043,0.0003,5.665092307692307
26.0,147.255243133085,0.000153505065950337,0.0022862854991371195,0.0003,5.455274074074073
27.0,147.25289720608401,0.00015756392070198996,0.00234592700152793,0.0003,5.2604428571428565
28.0,147.250489813227,0.00016174979137647099,0.00240739285723273,0.0003,5.0790482758620685
29.0,147.248018782245,0.000166086386300042,0.00247103098185018,0.0003,4.909746666666666
30.0,147.245481572437,0.00017059885275012298,0.00253720980716651,0.0003,4.751367741935484
31.0,147.242875249766,0.000175314080347018,0.00260632267190049,0.0003,4.6028875
32.0,147.240196457014,0.00018026104234828303,0.00267879275172442,0.0003,4.463406060606061
33.0,147.237441378365,0.000185471183296076,0.0027550786490199196,0.0003,4.332129411764705
34.0,147.234605697579,0.00019097886309756202,0.00283568078578059,0.0003,4.208354285714285
35.0,147.231684548807,0.000196821869671724,0.0029211487719691897,0.0003,4.091455555555555
36.0,147.22867245884902,0.00020304201488133898,0.0030120899579814896,0.0003,3.980875675675675
37.0,147.225565344855,0.000209546534582865,0.0031071139936815102,0.0003,3.8761157894736837
38.0,147.22235632156,0.000216525417235425,0.00320902329531649,0.0003,3.776728205128205
39.0,147.219037665451,0.00022403659493714802,0.00331865610925678,0.0003,3.6823099999999998
40.0,147.215600705924,0.000232145598256023,0.0034369595270949695,0.0003,3.5924975609756093
41.0,147.212035696923,0.000240926926168356,0.00356500900045954,0.0003,3.5069619047619045
42.0,147.208331665146,0.00025046569384364905,0.0037040317768758796,0.0003,3.4254046511627902
43.0,147.204476229955,0.000260859625142924,0.0038554351916236292,0.0003,3.3475545454545452
44.0,147.200455388954,0.00027222147482891496,0.00402084100110531,0.0003,3.2731644444444443
45.0,147.196253261685,0.000284681989148696,0.00420212726917785,0.0003,3.202008695652174
