"","x"
"1",1472924
"2",1472923.10993673
"3",1472921.38873967
"4",1472918.88932731
"5",1472915.65928788
"6",1472911.74894788
"7",1472907.1964604
"8",1472902.03615221
"9",1472896.2988718
"10",1472890.01228783
"11",1472883.20114561
"12",1472875.88748788
"13",1472868.09084467
"14",1472859.82839645
"15",1472851.11511366
"16",1472841.97116735
"17",1472832.40721285
"18",1472822.43201891
"19",1472812.05253357
"20",1472801.27393521
"21",1472790.09966952
"22",1472778.53147277
"23",1472766.56938166
"24",1472754.21172979
"25",1472741.46349869
"26",1472728.31940935
"27",1472714.77240871
"28",1472700.81360829
"29",1472686.43220588
"30",1472671.61538904
"31",1472656.34821832
"32",1472640.61348812
"33",1472624.39156231
"34",1472607.66018129
"35",1472590.39423668
"36",1472572.56550866
"37",1472554.14236034
"38",1472535.10232298
"39",1472515.405887
"40",1472495.00892825
"41",1472473.86215065
"42",1472451.91043469
"43",1472429.09207366
"44",1472405.33787583
"45",1472380.57010537
"46",1472354.79417509
"47",1472328.0061839
"48",1472300.17873149
"49",1472271.28766111
"50",1472241.29728861
"51",1472210.15383415
"52",1472177.8031501
"53",1472144.18797803
"54",1472109.22430136
"55",1472072.8671716
"56",1472035.11275146
"57",1471995.91754374
"58",1471955.23516555
"59",1471912.99499908
"60",1471869.11335331
"61",1471823.49257397
"62",1471776.01988523
"63",1471726.56593297
"64",1471675.01237899
"65",1471621.26015982
"66",1471565.20215187
"67",1471506.71769336
"68",1471445.70155375
"69",1471381.9954682
"70",1471315.42041442
"71",1471245.81987315
"72",1471173.00724241
"73",1471096.78761286
"74",1471016.96136295
"75",1470933.29815601
"76",1470845.53567136
"77",1470753.39600279
"78",1470656.57936561
"79",1470554.77538934
"80",1470447.63325001
"81",1470334.77432891
"82",1470215.75589807
"83",1470090.09926148
"84",1469957.27567466
"85",1469816.71929749
"86",1469667.83452451
"87",1469509.95342751
"88",1469342.3700714
"89",1469164.3177273
"90",1468974.8745542
"91",1468773.05131784
"92",1468557.78461605
"93",1468327.9564434
"94",1468082.24548244
"95",1467819.1984053
"96",1467537.13701528
"97",1467234.26859887
"98",1466908.57937302
"99",1466557.78953914
"100",1466179.35405515
"101",1465770.44532076
"102",1465327.8877396
"103",1464848.08874531
"104",1464327.06713351
"105",1463760.45153141
"106",1463143.38257295
"107",1462470.34119223
"108",1461735.23428734
"109",1460931.26530643
"110",1460051.04067014
"111",1459086.17744542
"112",1458027.47858772
"113",1456864.77629887
"114",1455586.66799656
"115",1454180.83661825
"116",1452633.75452856
"117",1450930.55983724
"118",1449054.73553181
"119",1446988.48675243
"120",1444712.45317264
"121",1442205.67611695
"122",1439445.13418984
"123",1436406.65231455
"124",1433064.05112999
"125",1429389.18275837
"126",1425352.12222805
"127",1420920.73889166
"128",1416062.08019195
"129",1410741.59906129
"130",1404923.6255156
"131",1398569.81893749
"132",1391641.47170988
"133",1384098.2773902
"134",1375899.75328436
"135",1367005.30675886
"136",1357373.58270266
"137",1346964.17700185
"138",1335737.54027752
"139",1323656.8469947
"140",1310686.72627459
"141",1296795.86648417
"142",1281954.82532591
"143",1266139.89508293
"144",1249330.38885837
"145",1231511.97827887
"146",1212673.61933518
"147",1192809.38909851
"148",1171920.12938682
"149",1150015.18080193
"150",1127111.86488252
"151",1103234.03703804
"152",1078414.10047711
"153",1052690.41361386
"154",1026111.00884235
"155",998734.687292337
"156",970622.305502099
"157",941842.710354931
"158",912472.264323816
"159",882590.658798154
"160",852285.946243437
"161",821643.99537036
"162",790753.068539974
"163",759706.606540675
"164",728595.715587072
"165",697511.062199617
"166",666545.973581318
"167",635790.993549513
"168",605332.146374156
"169",575257.958446024
"170",545650.572345893
"171",516584.085544577
"172",488125.948905741
"173",460346.834171686
"174",433305.473126414
"175",407052.801055923
"176",381644.02590173
"177",357121.157076683
"178",333518.477662903
"179",310863.699079204
"180",289177.021650019
"181",268474.688197049
"182",248764.279908706
"183",230049.737596595
"184",212324.434181032
"185",195577.200072841
"186",179789.593500141
"187",164943.439210212
"188",151016.117749219
"189",137984.389872194
"190",125819.887649096
"191",114497.587733876
"192",103981.409692338
"193",94237.5605177935
"194",85234.3104863337
"195",76932.5902192143
"196",69296.3823642745
"197",62284.3980286746
"198",55860.1672054038
"199",49988.6957681601
"200",44635.201105595
"201",39764.4698759685
"202",35342.6798726406
"203",31338.2372964119
"204",27718.0496736177
"205",24457.0759556761
"206",21528.4716952991
"207",18905.5238619062
"208",16563.9516153872
"209",14479.6103260003
"210",12630.1714350727
"211",10993.7000271287
"212",9551.65526959921
"213",8284.52308752331
"214",7172.76460363247
"215",6200.11872502083
"216",5350.66339398286
"217",4610.96260454159
"218",3969.28990155351
"219",3413.18871019626
"220",2932.67719816597
"221",2517.56729785451
"222",2159.78007026074
"223",1851.6053014321
"224",1586.84460287929
"225",1359.42729713408
"226",1164.40926846072
"227",997.633391413299
"228",855.561541465211
"229",734.406247570624
"230",630.903644256916
"231",542.738093751053
"232",467.727962800975
"233",404.056342413182
"234",350.021385515681
"235",304.079592000883
"236",264.961505633046
"237",231.572931002067
"238",203.086158836315
"239",178.707163459636
"240",157.749907581718
"241",139.718088798626
"242",124.208512030449
"243",110.832507332541
"244",99.2375828998333
"245",89.1705335601496
"246",80.4079740904237
"247",72.7522346823976
"248",66.029627244753
"249",60.1163916093939
"250",54.8975827329684
"251",50.2790421025392
"252",46.1778161684483
"253",42.5249789607463
"254",39.2624526361459
"255",36.3396545100352
"256",33.7148603000334
"257",31.3513958259399
"258",29.2176717666466
"259",27.2890556295212
"260",25.5398460842503
"261",23.950315833385
"262",22.5019634281475
"263",21.1807480010094
"264",19.9722428302641
"265",18.8658420058168
"266",17.8514199355744
"267",16.9195911156103
"268",16.062629131284
"269",15.272986069512
"270",14.5436482724471
"271",13.8693016522448
"272",13.2451563516493
"273",12.6664206473032
"274",12.1289684056307
"275",11.6291382033318
"276",11.1634943524935
"277",10.7292419773374
"278",10.3239309583961
"279",9.94499507208976
"280",9.5901479680831
"281",9.25757813118721
"282",8.94570798366452
"283",8.65299409214017
"284",8.37800565565802
"285",8.11935871290295
"286",7.8757978300396
"287",7.64620176022633
"288",7.42958623410085
"289",7.22502233995189
"290",7.03174966288983
"291",6.84896340375494
"292",6.67600674733625
"293",6.51219129399563
"294",6.3569187209336
"295",6.20964133943977
"296",6.06987556662839
"297",5.93721708870849
"298",5.81120341485292
"299",5.69139785285195
"300",5.57741014237718
